AssetPath,SourceMB,EstimatedPVRTC_MB,ReductionPercent,ImporterType,UsesAlpha,Classification,PSP2_EffectiveMax,UserTargetMax,PSP2_OutputMax,OriginalFormat,TargetFormat,MipmapsOriginal,MipmapsTarget,ForcedOverride,WillChange
Texture/Iffrig_Mercantile/Normal/Glass_NM.tga,0.042,0.008,81.5,Bump,TRUE,Normal,128,1024,128,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Back_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Foundation_Front_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Foundation_Rear_NM.png,0.167,0.031,81.3,Bump,TRUE,Normal,256,1024,256,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Normal/Rear_Trims_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Albedo/Foundation_Rear.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Foundation_Rear_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Foundation_Front.png,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Foundation_Front_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Front.png,1.001,0.250,75.0,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,FALSE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Front_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Trim_Front.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Front_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/MOAR/Trim_Front_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Roof_Porch_Rails.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Roof_Porch_Rails_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Ivy.tga,0.334,0.063,81.3,Image,FALSE,Color,512,1024,512,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Ivy_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Roof_Porch_Normal.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
Texture/Iffrig_Mercantile/Albedo/Back.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Back_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Albedo/Trim_Rear.png,1.334,0.250,81.3,Image,FALSE,Color,1024,1024,1024,DXT1,PVRTC_RGB2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/MOAR/Trims_Back_MOAR.tga,0.667,0.063,90.6,Image,TRUE,Color,512,1024,512,DXT5,PVRTC_RGBA2,TRUE,TRUE,None,TRUE
Texture/Iffrig_Mercantile/Normal/Front_Trims_NM.png,0.667,0.125,81.3,Bump,TRUE,Normal,512,1024,512,DXT5,PVRTC_RGB4,TRUE,TRUE,NormalMap,TRUE
